record_no,datetime,radon_bq_m3
688,2024-06-14 19:44:00,5
689,2024-06-14 20:44:00,5
690,2024-06-14 21:44:00,7
691,2024-06-14 22:44:00,7
692,2024-06-14 23:44:00,11
693,2024-06-15 00:44:00,7
694,2024-06-15 01:44:00,14
695,2024-06-15 02:44:00,11
696,2024-06-15 03:44:00,14
697,2024-06-15 04:44:00,9
698,2024-06-15 05:44:00,2
699,2024-06-15 06:44:00,11
700,2024-06-15 07:44:00,14
701,2024-06-15 08:44:00,16
702,2024-06-15 09:44:00,18
703,2024-06-15 10:44:00,25
704,2024-06-15 11:44:00,11
705,2024-06-15 12:44:00,14
706,2024-06-15 13:44:00,11
707,2024-06-15 14:44:00,11
708,2024-06-15 15:44:00,11
709,2024-06-15 16:44:00,9
710,2024-06-15 17:44:00,19
711,2024-06-15 18:44:00,11
712,2024-06-15 19:44:00,11
713,2024-06-15 20:44:00,5
714,2024-06-15 21:44:00,11
715,2024-06-15 22:44:00,14
716,2024-06-15 23:44:00,18
717,2024-06-16 00:44:00,14
718,2024-06-16 01:44:00,14
719,2024-06-16 02:44:00,18
720,2024-06-16 03:44:00,16
721,2024-06-16 04:44:00,33
722,2024-06-16 05:44:00,11
723,2024-06-16 06:44:00,19
724,2024-06-16 07:44:00,11
725,2024-06-16 08:44:00,23
726,2024-06-16 09:44:00,28
727,2024-06-16 10:44:00,25
728,2024-06-16 11:44:00,44
729,2024-06-16 12:44:00,32
730,2024-06-16 13:44:00,11
731,2024-06-16 14:44:00,11
732,2024-06-16 15:44:00,18
733,2024-06-16 16:44:00,19
734,2024-06-16 17:44:00,25
735,2024-06-16 18:44:00,14
736,2024-06-16 19:44:00,11
737,2024-06-16 21:44:00,16
738,2024-06-16 22:44:00,14
739,2024-06-17 09:44:00,23
740,2024-06-17 10:44:00,11
741,2024-06-17 11:44:00,19
742,2024-06-17 12:44:00,11
743,2024-06-17 13:44:00,11
744,2024-06-17 14:44:00,9
745,2024-06-17 15:44:00,14
746,2024-06-17 16:44:00,18
747,2024-06-17 17:44:00,19
748,2024-06-17 18:44:00,16
749,2024-06-17 19:44:00,9
750,2024-06-17 20:44:00,28
751,2024-06-17 21:44:00,16
752,2024-06-17 22:44:00,5
753,2024-06-17 23:44:00,11
754,2024-06-18 00:44:00,18
755,2024-06-18 01:44:00,19
756,2024-06-18 02:44:00,23
757,2024-06-18 03:44:00,28
758,2024-06-18 04:44:00,21
759,2024-06-18 05:44:00,32
760,2024-06-18 06:44:00,28
761,2024-06-18 07:44:00,18
762,2024-06-18 08:44:00,30
763,2024-06-18 09:44:00,23
764,2024-06-18 10:44:00,28
765,2024-06-18 11:44:00,28
766,2024-06-18 12:44:00,33
767,2024-06-18 13:44:00,25
768,2024-06-18 14:44:00,14
769,2024-06-18 15:44:00,26
770,2024-06-18 16:44:00,25
771,2024-06-18 17:44:00,35
772,2024-06-18 18:44:00,33
773,2024-06-18 19:44:00,23
774,2024-06-18 20:44:00,14
775,2024-06-18 21:44:00,11
776,2024-06-18 22:44:00,11
777,2024-06-18 23:44:00,30
778,2024-06-19 00:44:00,32
779,2024-06-19 01:44:00,25
780,2024-06-19 02:44:00,30
781,2024-06-19 03:44:00,25
782,2024-06-19 04:44:00,32
783,2024-06-19 05:44:00,23
784,2024-06-19 06:44:00,32
785,2024-06-19 07:44:00,21
786,2024-06-19 08:44:00,39
787,2024-06-19 09:44:00,44
788,2024-06-19 10:44:00,32
789,2024-06-19 11:44:00,41
790,2024-06-19 12:44:00,47
791,2024-06-19 13:44:00,39
792,2024-06-19 14:44:00,32
793,2024-06-19 15:44:00,32
794,2024-06-19 16:44:00,32
795,2024-06-19 17:44:00,39
796,2024-06-19 18:44:00,26
797,2024-06-19 19:44:00,25
798,2024-06-19 20:44:00,11
799,2024-06-19 21:44:00,26
800,2024-06-19 22:44:00,16
801,2024-06-19 23:44:00,30
802,2024-06-20 00:44:00,26
803,2024-06-20 01:44:00,14
804,2024-06-20 02:44:00,35
805,2024-06-20 03:44:00,26
806,2024-06-20 04:44:00,39
807,2024-06-20 05:44:00,35
808,2024-06-20 06:44:00,19
809,2024-06-20 07:44:00,42
